abbreviation,concurrency,creationtime,description,devicetypecode,dllname,documentid,firstrevid,mapcode,mapname,revisionid,SessionID,systemcode,systemname
,,2011-05-11 10:11:04.663,,,DAESTIVA,2K0000000000130HYT,2K0000000000130HX8,6eba0dd3e972d7708efdb42b946a852f6aa446373223857fdd39d1bfa199ac30247ffb9f752b1204b2a857b5461486ca6c45629ffc44498d147e64fa075cd669,,0,G00000000000614V1,,
,,2011-05-11 10:10:48.820,,,DOADU,2K0000000000130P2C,2K0000000000130LA7,0ae6aad73837255c7ff6d9cd87fe0d960e8fd394ae97fa52728db01dbd60f96c066f459b88629b36e2a4a9ea3a1c248b6dd06b58f1d64b13f8062796c7c11196,,0,G00000000000614V1,,
,,2015-10-03 10:34:30.730,,2.0,DEMODRV,4000000000000500JP,2K00000000001S1CC3,DemoPump1DEMODRV,,2,40000000000005004V,,
,,2015-10-03 10:34:38.443,,2.0,DEMODRV,4000000000000500JQ,2K00000000001S1CC8,DemoPump2DEMODRV,,2,40000000000005004V,,
,,2015-10-03 10:34:47.313,,2.0,DEMODRV,4000000000000500JR,2K00000000001S1CCD,DemoPump3DEMODRV,,2,40000000000005004V,,
,,2012-05-10 13:33:46.850,,2.0,DEMODRV,G00000000001D0013,2K00000000001S1CCI,DemoTCI1DEMODRV,,1,G00000000001D000H,,
,,2012-05-10 13:33:46.913,,2.0,DEMODRV,G00000000001D0014,2K00000000001S1CCX,DemoTCI2DEMODRV,,1,G00000000001D000H,,
,,2012-05-10 13:33:46.976,,2.0,DEMODRV,G00000000001D0015,2K00000000001S1CDC,DemoTCI3DEMODRV,,1,G00000000001D000H,,
,,2017-02-24 12:02:31.123,,,COM12,4600000000000O06FX,3K00000000001Z0054,GEDatexOhmedaAisysCOM12,,2,4600000000000O01DE,,
,,2017-02-24 16:27:03.837,,,GECSGHL7,4600000000000O06G5,4700000000000P0BVC,GECARESCAPEGatewayGECSGHL7,,2,4600000000000O01DE,,
,,2017-02-24 11:26:02.870,,,DDOCOM10,4600000000000O06FU,4700000000000P0EOH,GEDOCentivaCentivaPlusDDOCOM10,,2,4600000000000O01DE,,
,,2017-02-24 14:56:39.707,,,DODRI,4600000000000O06G3,4700000000000P0EQ4,GEPROCAREMonitorB20B40DODRI,,1,4600000000000O01DE,,
,,2017-02-28 10:03:38.200,,,COM12,4600000000000Q002Y,4700000000000P0F2A,GEDatexOhmedaAvanceCOM12,,3,4600000000000Q000L,,
,,2011-06-02 10:41:01.926,,,DDOCOM10,G00000000000C00GD,G00000000000C00EZ,GEDatexOhmedaAespireDDOCOM10,,1,G00000000000C00EQ,,
,,2017-02-24 13:16:16.460,,,DODRI,4600000000000O06G0,G00000000001F000D,GEDatexOhmedaS5PatientMonitorDODRI,,5,4600000000000O01DE,,
,,2012-05-10 12:43:38.923,,,SOLAR8000M,G00000000001D000Q,G00000000001F00C3,GEDash300040005000SOLAR8000M,,1,G00000000001D000H,,
,,2012-05-10 13:05:27.156,,,SOLAR8000M,G00000000001D000S,G00000000001F00NS,GEEagle30004000SOLAR8000M,,2,G00000000001D000H,,
,,2012-05-10 13:11:28.033,,,SOLAR8000M,G00000000001D000U,G00000000001F010F,GESolar8000and8000MSOLAR8000M,,1,G00000000001D000H,,
,,2012-05-10 13:24:18.193,,,SOLAR8000M,G00000000001D000V,G00000000001F01D2,GESolar9500SOLAR8000M,,1,G00000000001D000H,,
,,2017-02-24 13:08:27.583,,,DODRI,4600000000000O06FY,G00000000001F01PP,GECARESCAPEMonitorB850DODRI,,6,4600000000000O01DE,,
,,2012-05-10 13:33:47.100,,,DEMODRV,G00000000001D0016,KAI000000000003000E,53116bd21fb6ef2ba70764da8f6d9fe8ae052655a95ab0c9f15dec838eeff83ce004b6731b4c4e9f683d7a99b9cd67d63fe8029fa597e292ee76b056c4cd8274,,1,G00000000001D000H,,
,,2012-05-10 13:33:47.256,,,DEMODRV,G00000000001D0017,KAI000000000003000Z,44210e6a08b1bb440bd2af23daf518f44d523483782cb0524fcecb60f6ba8ab5235b52817258011df517b0ddf4cd1dbbb5ff2d88f08ffcf2cc3900bd83aa17a0,,1,G00000000001D000H,,
,,2017-02-24 13:12:20.170,,,DODRI,4600000000000O06FZ,MSTR00000000000600G3,GECARESCAPEMonitorB650DODRI,,8,4600000000000O01DE,,
